Data,Item,Categoria,Valor
2026-09-18,Fósforo Fiat Lux,CASA,4.99
2026-09-18,Sobrecoxa de Frango Sadia,COMIDA,9.99
2026-09-18,Sobrecoxa de Frango Sadia,COMIDA,9.99
2026-09-18,Sobrecoxa de Frango Sadia,COMIDA,9.99
2026-09-18,Filé de Peito Seara,COMIDA,18.99
2026-09-18,Pão Sírio,COMIDA,6.15
2026-09-18,Goma de Tapioca,COMIDA,8.99
2026-09-18,Creme Vegetal Tayná,COMIDA,17.99
2026-09-18,Colorau,COMIDA,1.69
2026-09-18,Sobrecoxa de Frango Sadia,COMIDA,9.99
2026-09-18,Sobrecoxa de Frango Sadia,COMIDA,9.99
